average_precision,bin,bin_count,bin_high,bin_low,brier,calibration,ece_10bin,fn_at_0.5,fp_at_0.5,hyperparameters,inner_average_precision,mean_predicted,model,observed_frequency,outer_fold,policy_accuracy,policy_accuracy_difference_vs_n16_pp,policy_adaptive_only_correct,policy_both_correct,policy_both_wrong,policy_compute_reduction_vs_n16_pct,policy_mean_samples,policy_mean_tokens,policy_median_samples,policy_missed_recoveries,policy_n16_only_correct,policy_n_questions,policy_premature_stop_errors,policy_regressions_avoided,policy_total_samples,policy_total_tokens,positive_prevalence,recovery_precision_at_0.5,recovery_recall_at_0.5,roc_auc,row_type,selected_lambda_error,selected_tau,threshold_selection_rule,tn_at_0.5,tp_at_0.5
,4,212,0.4,0.30000000000000004,,uncalibrated,,,,,,0.3406702408366157,histgb,0.07075471698113207,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,5,123,0.5,0.4,,uncalibrated,,,,,,0.4473719365016422,histgb,0.0975609756097561,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,6,93,0.6000000000000001,0.5,,uncalibrated,,,,,,0.5483509692078407,histgb,0.043010752688172046,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,7,181,0.7000000000000001,0.6000000000000001,,uncalibrated,,,,,,0.652190402437696,histgb,0.11049723756906077,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,8,210,0.8,0.7000000000000001,,uncalibrated,,,,,,0.7545104994177136,histgb,0.1,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,9,318,0.9,0.8,,uncalibrated,,,,,,0.8578595357191104,histgb,0.18238993710691823,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,10,181,1.0,0.9,,uncalibrated,,,,,,0.921235341660264,histgb,0.20441988950276244,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
0.16581360408672546,,,,,0.031700860512740056,isotonic,0.011404305142632932,262,4,,,,logistic,,all,0.772,-1.6,8,378,98,71.70091441198433,3.97,2512.656,2.0,16,16,500,95,8,1985,1256328,0.0352,0.3333333333333333,0.007575757575757576,0.8771378796254418,aggregate_metric,,,,7232,2
,1,6522,0.1,0.0,,isotonic,,,,,,0.011610405341936867,logistic,0.017172646427476235,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,2,566,0.2,0.1,,isotonic,,,,,,0.13905554011759577,logistic,0.13074204946996468,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
